codigo,tipo,datareceb,descricao,valor,NumTitulo,Serie,Instituicao,ContaContabil,ContaContabilDebito,N,Tipo_C,Codigo_C,Numero
196478,C,2025-06-23 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.006,19",54792,100,237,2,0,1,1,5822,54792
198993,D,2025-11-21 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.006,11",893,S,237,0,29,1,2,424,893
197958,C,2025-09-18 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.004,19",55240,100,237,2,0,1,1,143,55240
197532,C,2025-08-25 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.003,88",55096,100,237,2,0,1,1,3363,55096
195968,D,2025-05-27 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.003,55",1396,1,237,0,22,2,2,5805,1396
195708,D,2025-05-12 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.003,54",1396,1,237,0,22,1,2,5805,1396
193632,C,2025-01-08 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.003,01",53928,100,237,2,0,1,1,2133,53928
195870,C,2025-05-19 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.003,01",54472,100,237,2,0,2,1,5173,54472
198470,C,2025-10-21 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.002,25",54772,100,2,2,0,1,1,3744,54772
198054,D,2025-09-24 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.002,20",442,1,237,0,21,1,2,5210,442
196335,C,2025-06-13 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.001,24",54765,100,237,2,0,1,1,5196,54765
194389,D,2025-02-20 00:00:00.000,Lançamento Referente Pagamento Duplicata,"1.001,18",202526,S,237,0,29,1,2,2587,202526
195840,C,2025-05-15 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.001,06",53763,100,237,2,0,1,1,4682,53763
196262,C,2025-06-10 00:00:00.000,Lançamento Referente Recebimento Duplicata,"1.000,16",54121,100,237,2,0,1,1,2422,54121
198692,C,2025-10-20 00:00:00.000,ENTRADA DINHEIRO CAIXA INTERNO,"1.000,00",0,,1,63,0,0,0,0,NULL
197647,C,2025-08-04 00:00:00.000,ENTRADA DE DINHEIRO CAIXA INTERNO,"1.000,00",0,,1,0,0,0,0,0,NULL
